PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,69.5118,68.2801,0.446554,0.055261
4,70.6908,69.0048,1.70167,0.036118
6,71.5797,70.5387,3.03073,0.065986
8,72.0815,69.2383,4.11353,0.056004
10,73.7943,72.6498,5.40414,0.060818
12,74.2586,71.2606,6.46845,0.045151
14,75.8843,73.8878,7.25542,0.062741
16,77.2809,75.1558,9.91961,0.062056
18,79.4518,76.5586,12.8999,0.062104
20,81.4593,79.3736,17.3053,0.061159
22,84.7479,81.269,21.2594,0.047399
24,88.7653,83.2155,24.6107,0.047081
26,91.873,85.4234,27.7746,0.048177
28,95.8429,93.8615,37.928,0.037491
1,102.375,100.168,0.420496,0.504065
3,102.684,97.969,1.3025,0.40981
5,102.994,100.94,2.98275,0.491487
7,104.497,101.651,3.23239,0.586168
9,107.418,105.547,5.08249,0.470572
11,109.306,107.143,6.24153,0.509781
13,112.276,110.334,7.13276,0.525649
15,113.98,111.204,8.46988,0.479545
17,115.672,111.138,11.4543,0.513885
19,118.01,114.755,15.4977,0.510857
21,118.37,112.015,18.8319,0.482966
23,123.359,121.528,23.9916,0.543006
25,126.495,124.646,27.1394,0.546434
27,126.712,116.57,33.4056,0.500292
29,132.186,124.639,38.1476,0.478906
ThroughPut,0.220085/s,,,
