PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
14,11.1354,5.0683,0.534193,0.731428
13,11.6587,7.59169,0.009703,0.432971
4,19.961,17.4188,11.6639,0.148857
3,32.5924,27.2673,13.9185,0.743405
2,35.8539,32.0747,12.2302,0.37527
7,39.1134,36.6165,20.5918,0.638505
6,44.0489,40.1756,19.966,0.682197
5,44.7686,42.0646,17.8117,0.230852
9,47.3543,43.3857,21.5644,0.65428
15,47.6464,44.558,23.0706,0.065321
1,53.5808,48.8874,47.6512,0.703269
12,53.9096,52.2437,49.3404,0.260385
8,61.1377,58.1473,53.9147,0.277364
10,65.7032,61.3325,54.5232,0.683391
11,66.5826,62.725,55.6113,0.209493
ThroughPut,0.225282/s,,,
