PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
1,37.2706,35.2708,0.008928,0.681219
6,39.0226,36.3707,2.67985,0.797021
3,46.6203,43.3108,0.990827,0.825118
4,47.322,42.7748,1.41075,0.667362
8,50.2532,46.6613,3.70115,0.589578
13,55.5417,53.4679,6.43808,1.04714
2,57.1208,51.6747,0.126353,1.0904
7,58.6141,52.3933,2.79705,1.15654
11,58.9644,51.5632,5.49388,0.829693
14,59.6288,56.7411,6.69161,0.638436
15,59.9532,55.8417,7.65957,0.728486
10,60.8294,56.4748,4.79436,0.905006
12,61.0624,53.3569,5.72059,1.09578
5,62.046,57.5697,2.53302,1.15257
9,62.7797,58.1461,4.49114,0.579238
ThroughPut,0.228697/s,,,
