PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,51.1148,50.1446,0.392272,0.152092
4,54.3959,52.9082,1.60669,0.201671
8,56.306,55.1689,3.98007,0.183775
10,56.9985,56.0794,5.25522,0.123475
12,58.5948,57.7648,6.27209,0.164729
14,59.0642,57.852,7.06228,0.14814
16,62.5502,60.8201,9.31521,0.184832
18,65.4787,62.8641,12.3381,0.108105
20,68.5713,66.8971,16.653,0.170674
22,71.845,69.0396,20.5985,0.121844
24,75.1571,72.4547,23.9006,0.187686
26,77.441,71.7425,27.0723,0.124705
28,78.5962,78.2192,37.192,0.171711
30,83.5947,81.7579,38.3382,0.13988
32,84.6248,80.571,40.2711,0.188044
34,88.218,86.7416,44.4027,0.124924
36,89.577,88.1787,46.4078,0.170149
38,91.684,91.3258,49.366,0.124269
6,96.7675,95.7939,2.95154,0.226803
7,138.302,136.613,3.10923,0.084007
9,138.535,134.437,4.93876,0.096189
11,144.221,143.301,6.05541,0.083218
13,144.968,141.55,6.94243,0.092731
15,148.052,140.928,8.13133,0.094145
17,149.149,146.075,10.8766,0.107776
19,150.72,140.102,14.8598,0.078021
21,152.577,149.443,18.1716,0.079371
23,153.543,152.014,23.2973,0.078724
25,153.589,151.853,26.4312,0.095217
27,155.724,148.794,32.662,0.078457
29,156.366,149.575,37.4131,0.093591
31,156.602,153.947,40.0518,0.093796
33,157.112,150.811,44.1527,0.09463
35,157.235,154.497,45.7701,0.093227
37,158.732,153.4,47.6515,0.093036
1,159.016,155.97,0.370565,0.117934
3,162.116,157.726,1.21544,0.11145
5,164.143,155.686,2.89766,0.124259
ThroughPut,0.232027/s,,,
