PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
13,67.5726,66.3353,1.02462,0.554853
29,70.5589,69.1634,1.94641,0.47589
8,77.2542,75.1724,0.729139,0.054534
22,88.2228,85.8708,1.53861,0.046736
27,105.754,103.29,1.82987,0.498971
28,111.219,108.1,1.8874,0.045824
24,127.003,123.322,1.65711,0.046801
16,128.153,124.405,1.19679,0.063111
17,131.929,128.57,1.25375,0.518317
3,132.223,128.667,0.446915,0.415649
9,140.28,136.48,0.789077,0.475311
25,141.089,137.379,1.71517,0.546358
7,141.697,137.929,0.672185,0.592621
1,147.477,143.355,0.357871,0.511414
18,148.068,143.443,1.3098,0.062628
23,152.951,148.581,1.59574,0.530451
2,153.792,148.767,0.386962,0.06117
11,156.157,151.527,0.906773,0.506303
10,161.067,155.597,0.846909,0.06262
20,190.716,182.85,1.4242,0.05652
6,191.169,183.258,0.615224,0.063119
26,191.622,183.684,1.77331,0.06181
14,198.949,190.128,1.08069,0.047039
5,206.976,197.563,0.5591,0.499672
19,216.418,205.589,1.3682,0.510806
21,225.486,212.75,1.4804,0.470463
12,230.669,216.081,0.967058,0.047267
15,231.012,216.767,1.13778,0.48101
4,240.404,218.206,0.502739,0.046768
ThroughPut,0.120809/s,,,
