PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
1,13.3975,12.0976,0.340255,0.497616
5,15.1975,12.4542,0.370943,0.488915
9,16.6516,14.9907,1.13532,0.464577
13,16.6919,14.0597,1.53268,0.528798
17,16.9852,15.5623,2.63736,0.498969
21,17.5039,15.1718,2.68191,0.459888
25,17.5773,15.489,2.75483,0.532395
29,20.7313,18.248,3.63517,0.457239
2,34.2869,32.464,20.7478,0.062378
6,34.8937,31.1412,21.1197,0.063354
10,35.4114,34.1348,22.5232,0.062052
14,36.0496,34.0132,23.3025,0.075587
18,36.752,34.2229,24.5472,0.047223
22,37.2474,36.3421,26.389,0.062294
26,40.2492,39.0823,26.6848,0.062079
3,68.6203,65.1641,40.2646,0.404889
7,68.8105,64.5238,40.7618,0.588056
11,69.3086,65.5571,41.4315,0.516226
15,70.6975,63.0652,43.5977,0.472151
19,73.6591,71.5594,46.3016,0.514713
23,73.8154,72.5834,46.5814,0.547047
27,74.1422,66.8866,46.7849,0.498312
4,106.38,102.188,74.1588,0.04733
8,108.868,108.013,77.8846,0.063032
12,109.379,104.89,78.2737,0.047132
16,114.536,108.317,81.1064,0.060948
20,117.783,114.772,84.2473,0.062265
24,118.125,108.79,85.2151,0.046156
28,123.917,121.463,91.4204,0.047456
ThroughPut,0.234668/s,,,
