PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
1,4.4938,2.95539,2.1e-05,0.298666
4,25.2808,22.7471,0.489921,0.350263
3,28.3875,25.779,0.305376,0.151681
7,25.7595,23.6951,0.795717,0.187497
19,30.4936,29.0943,3.17989,0.306108
2,46.1764,42.0965,2.4e-05,0.361551
5,48.9932,45.6631,0.59432,0.154286
21,33.7912,31.9986,3.6681,0.225029
12,43.8792,41.5126,1.88736,0.15849
17,39.8364,37.8282,2.67618,0.160765
9,49.6601,46.7389,1.1808,0.44833
15,45.1922,42.693,2.26755,0.402735
8,52.9477,49.8026,0.939199,0.422964
14,47.7037,44.9833,2.10535,0.333423
6,61.5726,57.3436,0.833528,0.489981
18,49.8905,46.8385,2.89154,0.451516
25,45.3366,42.4641,4.47109,0.498162
16,53.3851,50.0736,2.49406,0.318161
22,49.3514,46.4319,4.00119,0.511566
11,61.4472,56.9946,1.6651,0.476946
23,53.0912,49.3516,4.22058,0.244966
10,66.4733,61.4014,1.09843,0.331822
13,66.1072,60.6496,2.01083,0.175549
20,65.4907,57.6588,3.52169,0.459062
24,63.7489,54.4026,4.37817,0.471319
Avg,46.3396,42.8479,2.06704,
ThroughPut,0.297498/s,,,
