PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
8,48.7398,42.0377,0.009354,0.407613
32,47.9427,45.2901,3.74756,0.26664
35,53.2564,49.1343,7.50253,0.59329
43,58.4458,56.0713,17.576,0.354595
46,64.8967,62.8831,20.3812,0.365261
47,65.2117,62.036,21.5618,0.436122
29,65.5412,63.1533,1.66765,0.342828
28,66.7726,61.5707,0.357479,0.404675
33,70.1786,66.9466,5.17411,0.415716
45,79.1274,74.5764,19.5281,0.675158
31,80.5294,77.3839,2.5074,0.317209
34,81.6664,77.1305,6.39369,0.578851
37,85.1022,81.9498,9.85877,0.558053
38,85.5165,80.6774,11.1079,0.443638
39,87.9323,83.597,12.191,0.394866
42,89.0148,85.5971,15.3159,0.410001
41,89.113,83.8007,13.9154,0.529453
44,89.8486,84.0896,18.6442,0.482592
30,90.9078,83.9505,1.71508,0.723652
36,91.8119,85.8016,7.91587,0.582549
40,92.7682,90.2129,13.2571,0.206617
ThroughPut,0.211986/s,,,
