PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,29.2117,28.2429,0.37509,0.152358
4,31.3365,29.8265,1.57659,0.237013
8,32.0976,30.9759,4.00465,0.183898
10,32.3871,31.5032,5.25242,0.124889
12,32.9872,32.1704,6.22825,0.163626
14,33.2091,32.0048,7.00643,0.143575
16,34.4112,33.6474,8.54709,0.18179
18,35.3963,34.4408,9.60855,0.101002
20,36.4614,35.7362,11.0511,0.162044
22,38.1244,37.0723,12.4158,0.125653
24,41.1406,40.0618,13.5543,0.184045
26,43.4083,41.4283,14.6719,0.113301
28,44.56,44.233,17.9991,0.163996
30,46.4442,45.4473,18.4758,0.140113
32,46.8744,43.4297,19.5239,0.18301
34,48.096,46.7725,22.9732,0.123646
36,48.6058,47.4468,24.7941,0.171391
38,49.3333,48.9798,27.4909,0.12292
6,51.0085,50.3242,2.90725,0.215236
7,69.7967,68.6116,3.14364,0.073698
9,70.0243,68.4558,4.94745,0.084515
11,75.0763,74.5787,6.01646,0.073442
13,75.7783,74.5442,6.88647,0.084291
15,77.3953,74.7157,8.07211,0.082892
17,77.7527,76.3076,9.13363,0.076829
19,78.2574,71.3714,10.4681,0.057192
21,78.845,77.7483,11.6194,0.077983
23,79.1615,78.2666,13.3478,0.077289
25,79.195,78.0534,14.4545,0.091202
27,79.9086,77.0538,16.5437,0.063967
29,80.1322,77.6724,18.1669,0.082431
31,80.2191,79.1938,19.3478,0.084175
33,80.3958,78.1846,22.8009,0.095457
35,80.447,79.1119,24.1888,0.086436
37,80.9514,78.0566,25.7978,0.075099
1,81.0558,79.9111,0.330752,0.106505
3,82.0885,79.4081,1.19651,0.091207
5,82.762,79.9085,2.85456,0.103043
ThroughPut,0.460986/s,,,
