PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,33.9806,31.2306,0.331023,0.443456
4,35.9958,33.8536,2.22166,0.47166
10,37.5628,35.3852,5.92881,0.261447
18,42.7987,41.0804,12.3289,0.437811
20,44.1656,41.7406,13.8046,0.474886
1,44.9343,42.0777,0.012348,0.490954
3,46.0417,43.6024,1.56177,0.491628
5,46.7967,45.1359,3.39706,0.310736
6,47.7512,44.4044,3.43193,0.441344
16,53.9764,51.4332,10.4179,0.31472
17,54.2853,50.9569,11.2709,0.367321
8,55.634,52.7255,4.65676,0.495714
9,56.8459,53.9524,5.6196,0.506107
14,59.8256,55.7369,8.42166,0.399852
15,59.9977,57.8202,9.56923,0.316802
7,62.0892,57.889,3.60503,0.401369
11,62.6056,59.2533,6.65878,0.395597
12,64.7156,61.1773,7.12978,0.412672
13,64.9175,61.995,7.82262,0.420493
19,65.021,60.878,13.1598,0.502768
ThroughPut,0.307591/s,,,
