PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,2.87713,1.89987,0.43695,0.154786
1,5.00076,3.55639,0.411733,0.107743
4,6.88362,6.29922,5.69692,0.201346
3,7.87109,5.67703,2.93235,0.09285
6,17.2691,13.0715,8.56724,0.232821
5,22.3012,15.8658,7.87609,0.1113
8,31.7224,29.0124,22.941,0.190436
7,37.2641,31.4261,22.3163,0.0945
10,43.2114,42.7897,38.8954,0.125116
9,44.4772,39.0073,36.2624,0.094554
12,48.3252,46.9199,45.1309,0.171423
11,51.9393,49.4191,44.4922,0.090582
14,54.0555,53.2018,52.2994,0.154939
13,54.8053,52.5942,48.4801,0.094004
16,56.5791,55.7869,54.9624,0.186693
15,60.4323,59.264,54.8212,0.092385
18,66.5727,65.7312,60.9334,0.111205
17,66.8567,63.7804,57.1692,0.093441
19,74.0826,68.2886,66.8722,0.063112
20,75.6715,74.8006,70.0667,0.170851
22,81.7592,81.3529,76.539,0.126314
21,85.6777,81.411,75.6869,0.09266
23,89.4324,88.1703,82.2898,0.078438
24,89.7435,88.5106,86.5187,0.189926
26,94.9252,93.3357,90.2586,0.12308
25,99.0676,95.215,89.7589,0.094398
27,111.88,104.692,95.2809,0.078241
28,112.459,109.169,101.833,0.171502
30,117.702,117.168,112.786,0.142261
29,124.285,120.54,112.474,0.093328
32,133.979,131.317,126.013,0.187909
31,137.116,132.005,119.587,0.092174
33,151.489,149.349,137.132,0.109546
35,154.755,149.097,143.886,0.093316
36,155.481,155.154,152.466,0.170631
38,157.994,157.293,155.732,0.12491
34,161.439,155.556,137.364,0.123646
37,163.439,162.767,155.496,0.09223
ThroughPut,0.233086/s,,,
