PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
9,1.41844,0.214896,1.18455,0.092835
13,2.83978,-1.69302,1.57691,0.086447
17,3.3391,2.10368,2.69885,0.075306
21,3.85052,-2.40332,2.75714,0.086301
25,4.52264,-2.42697,2.83881,0.09709
29,3.8783,0.442864,3.72143,0.092013
33,4.65803,1.54957,4.53386,0.097765
37,6.11744,2.36368,4.85044,0.092001
1,2.55973,-0.404886,0.404779,0.115815
5,0.775735,-6.90652,0.446693,0.121955
2,52.9875,52.1286,50.0077,0.155269
10,52.0707,51.4358,51.3346,0.123032
14,54.098,53.1226,51.8622,0.155754
18,55.4471,55.152,52.697,0.107854
22,53.2416,52.5553,52.8999,0.125539
26,53.7229,53.1328,53.476,0.122543
30,57.005,56.2867,53.9585,0.139951
34,55.1879,54.3914,54.5524,0.125257
38,57.8514,57.289,55.2395,0.124542
6,51.4927,50.1313,50.7271,0.234286
7,77.1287,75.079,74.2165,0.094107
11,76.9318,72.0855,75.0689,0.093693
15,78.2274,72.1131,75.2541,0.094516
19,79.8475,76.4654,78.1461,0.078166
23,81.8232,73.843,80.1451,0.077705
27,82.9773,79.1002,80.6421,0.079028
31,81.3895,77.8548,81.0307,0.096114
35,89.0659,87.8786,84.0475,0.094329
3,75.8665,68.9842,72.7488,0.109151
4,136.581,136.003,134.325,0.205139
8,135.456,129.456,134.714,0.186514
12,140.854,139.826,140.543,0.170829
16,142.024,138.622,141.416,0.187597
20,144.862,143.477,144.646,0.17088
24,147.494,145.608,145.876,0.185834
28,147.945,145.799,147.591,0.172038
32,152.774,151.498,149.581,0.185032
36,152.792,152.467,150.687,0.170498
ThroughPut,0.234597/s,,,
