PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
5,35.6622,35.0063,3.01228,0.095764
7,39.4773,37.0839,3.472,0.463854
9,40.122,35.8072,5.30236,0.526365
12,44.35,42.2193,8.59525,0.608833
3,45.8223,43.3284,1.07056,0.215074
2,46.0366,40.1812,0.168285,0.549901
11,51.1538,47.027,7.67116,0.427747
13,52.1641,49.7199,9.4712,0.25909
4,55.329,51.5678,1.81919,0.373943
8,57.4845,52.7038,4.42227,0.592074
1,60.5128,56.5005,0.011936,0.47068
6,61.7367,57.0518,3.09085,0.652643
10,61.8731,57.6887,5.93268,0.413903
14,62.8409,59.8881,9.69493,0.098781
15,64.227,59.7334,10.6911,0.50046
ThroughPut,0.233544/s,,,
