PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,31.7405,30.007,0.420803,0.10501
6,35.3904,31.8329,3.34549,0.639248
12,41.8058,38.1525,10.2438,0.343841
1,50.8338,45.6306,0.018369,0.738007
4,51.9154,49.1204,2.00575,0.123325
8,54.2096,52.5136,6.55358,0.151373
10,55.8151,52.1619,8.64205,0.279225
3,61.4308,57.5141,1.46253,0.454362
5,62.4513,61.0471,3.28839,0.096835
7,63.0347,55.5448,5.26191,0.738715
9,63.9743,58.335,7.35387,0.743031
13,65.0713,62.7764,12.0946,0.419297
11,65.6742,59.0471,10.0099,0.453173
14,68.1079,62.829,12.3053,0.759182
15,68.9478,62.9263,13.7568,0.710492
Avg,56.0269,51.9626,6.45087,
ThroughPut,0.217553/s,,,
