PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,104.339,101.255,0.442535,0.416765
3,110.403,109.557,1.19076,0.063193
4,111.274,108.662,1.59193,0.546423
6,111.616,107.311,2.8405,0.320648
7,113.101,110.819,2.95049,0.051447
8,116.088,111.718,3.8335,0.768936
9,117.949,114.987,4.71705,0.116739
10,120.948,119.61,5.02891,0.252146
11,122.645,119.341,5.72898,0.105988
13,124.358,120.901,6.54513,0.095577
12,126.746,122.801,5.94691,0.610594
14,127.136,125.172,6.66601,0.206549
15,132.149,128.016,7.6632,0.076111
16,135.356,132.175,8.13318,0.650457
17,135.59,133.273,9.56045,0.123723
18,141.294,136.859,11.0251,0.295275
19,142.025,138.184,13.5034,0.091718
20,145.139,142.473,15.2921,0.511433
21,146.242,142.871,16.7352,0.108191
22,147.832,142.965,19.1592,0.355108
23,149.689,145.495,21.7774,0.077794
24,150.71,147.118,22.3803,0.558195
25,150.757,146.846,24.8383,0.092453
26,152.901,143.13,25.4753,0.230259
27,153.538,148.06,30.9957,0.078263
28,153.8,148.305,35.5267,0.449055
1,154.33,147.588,0.37853,0.101848
5,154.469,146.995,2.76561,0.206999
ThroughPut,0.18171/s,,,
