PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
7,21.3122,19.5186,0.398928,0.065847
11,23.6857,21.0703,1.14628,0.11212
15,24.323,20.4685,1.53414,0.068612
19,29.811,27.348,2.67588,0.086604
23,34.3541,32.7211,2.72081,0.061834
27,34.462,30.1338,2.79605,0.06735
1,35.3797,31.3599,0.361877,0.086583
2,54.7458,50.4035,35.3953,0.419869
9,58.0274,53.3373,37.2613,0.12437
13,58.5085,56.7654,40.9842,0.108424
17,59.1923,55.1549,41.2343,0.12614
21,61.3542,59.9039,42.5263,0.109059
25,64.0437,61.755,43.1811,0.094135
5,64.3397,62.9385,37.0267,0.2026
3,92.0868,91.3379,64.3555,0.063757
6,92.4609,85.2962,64.5585,0.325487
10,96.0396,91.2875,67.6004,0.265286
14,96.3054,92.8038,68.212,0.214773
18,99.0905,97.1284,70.8139,0.295503
22,102.119,95.8272,71.5779,0.35901
26,102.991,98.4055,73.0878,0.235111
4,150.148,140.189,103.007,0.546678
8,150.257,141.43,109.134,0.778119
12,152.441,148.955,109.696,0.631025
16,153.139,146.629,110.069,0.654597
20,153.42,149.839,110.459,0.497976
24,153.994,143.828,112.014,0.561326
28,154.15,146.769,114.994,0.449667
ThroughPut,0.182067/s,,,
