PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
1,36.8864,36.0158,0.35811,0.091142
27,90.6283,88.1619,1.84078,0.075781
6,115.278,112.188,0.625275,0.328083
7,124.67,121.083,0.681192,0.078231
13,124.952,121.369,1.0243,0.095011
25,133.084,129.227,1.72306,0.092099
19,139.527,135.405,1.37176,0.085506
17,140.851,136.741,1.25797,0.136698
15,145.462,141.122,1.14104,0.078474
21,145.724,141.343,1.4881,0.115214
5,146.485,142.217,0.56882,0.217837
16,148.773,144.871,1.20096,0.638111
10,165.459,160.319,0.85437,0.264726
28,183.727,177.808,1.89893,0.447495
3,191.15,184.36,0.454763,0.062137
24,194.231,187.77,1.66303,0.565159
14,202.022,194.681,1.08343,0.201556
12,204.799,197.708,0.966871,0.624845
8,208.607,201.362,0.736545,0.775621
9,209.183,201.191,0.795116,0.114886
2,223.519,214.478,0.397561,0.423345
18,225.25,215.865,1.3171,0.297952
11,225.847,216.172,0.911062,0.111717
20,227.08,216.266,1.4298,0.516246
4,228.626,218.901,0.511055,0.540461
23,232.194,220.971,1.60709,0.077621
26,234.42,222.592,1.78194,0.235548
22,234.559,222.534,1.54746,0.359281
ThroughPut,0.119555/s,,,
