PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
13,40.7261,38.1056,6.03925,1.01461
12,43.0679,39.075,5.41295,1.25571
2,45.3415,41.1276,0.106122,0.944366
15,53.2249,50.507,7.29422,1.0426
1,54.2458,49.9103,0.015478,1.24709
3,54.5991,50.3734,0.819742,0.814438
7,56.1502,51.5398,2.52673,1.30942
4,56.2411,49.386,1.18739,1.36303
11,57.4689,49.44,5.18332,1.38411
14,57.5802,52.2619,6.29837,1.4615
6,58.1787,55.0607,2.36856,0.659278
9,59.1984,54.7083,4.18756,0.813843
5,61.4599,55.5257,2.31312,1.18568
10,61.5453,55.4424,4.47915,0.924596
8,61.667,55.8101,3.40435,1.10326
Avg,54.713,49.8849,3.44242,
ThroughPut,0.243241/s,,,
