PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,27.0808,24.2527,1.47698,0.663012
4,49.6598,47.08,2.74615,0.274204
14,48.5609,45.966,12.01,0.357635
1,56.3701,50.1727,3e-05,0.594169
15,49.1885,46.2055,13.7453,0.248575
6,54.7616,49.697,4.37737,0.734986
11,57.7876,53.5518,9.60586,0.571127
5,61.7434,55.247,2.33187,0.725135
12,59.7085,57.9442,11.3496,0.27651
7,63.8912,59.9611,5.60732,0.348964
8,63.5798,56.5369,6.85694,0.65701
9,64.9601,58.3242,7.76328,0.71481
3,68.8096,63.8604,1.859,0.454398
13,64.9785,62.9197,11.8634,0.141728
10,68.337,63.2242,9.56429,0.604168
Avg,57.2945,52.9962,6.74383,
ThroughPut,0.204698/s,,,
