PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
2,3.16812,1.01859,0.401982,0.05541
1,4.04898,3.08855,0.372535,0.499297
4,7.21298,6.34994,4.88007,0.034461
3,8.17664,5.71311,4.05409,0.404688
6,18.4183,14.2398,9.50003,0.077248
5,20.8557,15.8119,8.18175,0.498835
8,37.5577,36.0018,23.4517,0.061332
7,37.6665,26.6326,20.8711,0.595682
10,46.0319,40.4011,38.5966,0.06295
9,46.688,44.8721,37.6819,0.482977
12,53.6736,51.5617,47.8305,0.047343
11,54.0186,50.9825,46.7033,0.510584
14,57.3744,55.8055,54.6503,0.062032
13,57.7642,56.0584,54.0334,0.561327
16,63.6857,59.9219,58.2739,0.047695
15,65.8363,64.049,57.7801,0.485119
18,75.5471,71.9657,68.5313,0.062247
17,76.265,72.3208,65.8513,0.514244
20,84.5301,80.5073,77.7657,0.063264
19,84.92,80.8182,76.2803,0.496495
22,92.1468,90.417,87.9406,0.062834
21,92.6299,86.9764,84.9361,0.482955
24,101.699,98.1089,94.0456,0.046756
23,104.445,98.8114,92.6459,0.542541
26,115.835,114.228,107.464,0.061884
27,127.029,122.873,115.121,0.511878
28,128.84,122.707,117.352,0.046083
25,139.719,129.759,104.46,0.549621
29,145.772,137.738,128.856,0.482602
ThroughPut,0.199446/s,,,
