PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
1,0.980347,-1.3042,0.37414,0.505623
5,5.91588,1.52371,0.401998,0.501426
9,5.67989,2.80893,1.14982,0.463409
13,1.6231,-1.96964,1.54566,0.540578
17,3.5525,0.474367,2.66966,0.504655
21,4.30514,0.210124,2.71339,0.474458
25,2.97922,0.474536,2.78803,0.542444
29,7.37525,3.085,3.67635,0.47538
2,41.1743,39.3558,40.9084,0.062173
6,41.8695,38.0981,41.2828,0.077622
10,43.1815,41.9169,42.6827,0.061819
14,44.0814,42.0638,43.4597,0.061885
18,45.3839,42.8502,44.6996,0.046363
22,47.0442,46.1472,46.5604,0.060573
26,49.8389,48.6859,46.8521,0.046999
3,62.2517,58.7957,60.4,0.42126
7,61.0562,56.7692,60.885,0.594846
11,62.0048,58.2534,61.5389,0.512468
15,65.0757,57.4344,63.7005,0.480876
19,69.3518,67.2502,66.4002,0.496971
23,66.8214,65.591,66.6796,0.531273
27,67.1928,59.9383,66.8821,0.499105
4,96.109,91.9232,94.2884,0.045963
8,100.477,99.6207,98.0074,0.061929
12,98.8952,94.3598,98.396,0.046626
16,106.422,100.238,101.279,0.061752
20,107.622,104.613,104.382,0.061748
24,105.687,96.3739,105.361,0.046565
28,117.315,114.855,111.547,0.045498
ThroughPut,0.201858/s,,,
